女书字符,《字帖》序,对应汉字,江永方言代表发音
𛅰,0,一,i5
𛅱,1,两日入二,na33
𛅲,2,傺错七,tsha5
𛅳,3,人,ie21
𛅴,4,八,poe5
𛅵,5,十事实侍拾莳是誓,swe33
𛅶,6,标蜂漂飘批披喷片骗,phiu44
𛅷,7,约雨宇羽舞屋武,u5
𛅸,8,水,cya35
𛅹,9,了礼弟帝吊调丫,tie42
𛅺,10,内义要语宜仪谊议意遗蚁以认忍耳,njie33
𛅻,11,大代袋待怠台抬,toe33
𛅼,12,尺嘱烛却,tchye5
𛅽,13,下吓化,fwe13
𛅾,14,朝犁低刁雕,liu44
𛅿,15,小细笑洗息夕削叔送宋宿,siu35
𛆀,16,土,thu35
𛆁,17,女,njyu13
𛆂,18,文闻,vai42
𛆃,19,坑间工公跟竿功更根庚耕,kai44
𛆄,20,寸可靠壳扩考介戒界狗苟稿确,khau21
𛆅,21,界介顾个告够过,kou21
𛆆,22,者九久韭酒守,tciou35
𛆇,23,两二,liang35
𛆈,24,向上食,ciang13
𛆉,25,干千签迁,tsheng44
𛆊,26,三,song44
𛆋,27,没,ma5
𛆌,29,辉挥坏灰非飞饭翻番反费虽,fa44
𛆍,28,知泪虑立利粒单丹,la44
𛆎,31,太,thoe21
𛆏,32,才财裁,tsoe42
𛆐,33,蝦括骨刮发,fwe44
𛆑,34,此翅池子只纸指旨紫趾仔崽,tswe35
𛆒,35,称曾了拉弄弟刀动低洞第得灯登滴冻凳待带铜腾替驼潭,ti13
𛆓,36,戏习世势逝,ci21
𛆔,37,夫傅,fu44
𛆕,38,补火幅府妇,fu35
𛆖,39,贺祸户互父妇负富腐咐付赋附福服伏,fu13
𛆗,40,主煮矩举,tcyu35
𛆘,41,嘴句,tcyu21
𛆙,42,扮婚昏魂患纷分封坟份粉粪风睡,fai44
𛆚,43,口考肯好候,hau35
𛆛,44,斗抖到,lou35
𛆜,45,六略,liou33
𛆝,46,筹抽昼州周洲咒交旧娇绞教救较究舅纠求球丘,tciou44
𛆞,47,丑手首守,ciou35
