一	𛆼 𛅰
丁	𛉼
七	𛅲
万	𛈄 𛆨
丈	𛊪 𛈼
三	𛆊
上	𛆈
下	𛅽
不	𛆳
与	𛉟 𛈶 𛇄 𛆱
丑	𛆞
专	𛈌
且	𛊴 𛇠
世	𛆓
丘	𛆝
丙	𛇛
业	𛈥
东	𛊚
丝	𛊸
丞	𛋙
两	𛆇 𛅱
严	𛋍 𛋋
丧	𛈊 𛆢
个	𛉦 𛇢 𛆯 𛆅
丫	𛆴 𛅹
中	𛈌
丰	𛆠
串	𛆟
丹	𛈂 𛆍
为	𛊄 𛆨
主	𛋱 𛋒 𛆺 𛆗
举	𛆺 𛆗
久	𛆆
义	𛅺
之	𛈤 𛆷
乌	𛉍 𛇯
乐	𛋧
乔	𛊻
乖	𛉌 𛇧
乘	𛋙
九	𛆆
也	𛇁
习	𛆓
乡	𛉶
书	𛈬
买	𛊊 𛉟
乱	𛋈
乾	𛉉 𛈆
了	𛆒 𛅹
争	𛋩
事	𛆹 𛅵
二	𛆇 𛅱
于	𛆱
亏	𛆩
云	𛉍
互	𛆖
五	𛈕
井	𛇆 𛆦
些	𛇠
亡	𛋅 𛉯 𛆡
交	𛆝
亦	𛇁 𛆯
产	𛊜
亩	𛇀
享	𛉷
京	𛋭 𛇆
亭	𛊭
亮	𛉴 𛇖
亲	𛋴
人	𛅳
仇	𛉬
今	𛆭
介	𛇧 𛆅 𛆄
仍	𛋍
从	𛋳 𛈽
仓	𛉱
仔	𛆑
仕	𛆹
他	𛆶
仗	𛋬 𛊪
付	𛈩 𛆖
仙	𛇚
代	𛅻
令	𛉼
以	𛋤 𛆼 𛆱 𛅺
仪	𛅺
件	𛇝
价	𛉌 𛉋 𛈅 𛇧
任	𛊉 𛆲 𛆱
份	𛋆 𛆙
伏	𛈩 𛆖
休	𛈀
众	𛊪
会	𛋶 𛆴
伞	𛊜 𛇠
传	𛈆
伤	𛉶
伪	𛊄
估	𛊿
伴	𛈺
伸	𛈛
似	𛊝
佃	𛋊
但	𛉻
位	𛈕 𛆨
低	𛊚 𛆒 𛅾
住	𛇭
佑	𛇁
体	𛋒
何	𛇮
余	𛇄
佛	𛋶
作	𛊅 𛈱 𛇎 𛇍
你	𛊂 𛈻
佩	𛈭
佰	𛇫
佳	𛉊
使	𛇴
侄	𛇴
侍	𛆹 𛅵
供	𛈌
依	𛋕 𛊺 𛆱
侬	𛈏 𛆥
侵	𛋴
便	𛇪 𛇙
俊	𛊶
保	𛉎
信	𛉡
俫	𛈞
修	𛉪
俱	𛋔
倒	𛇼
候	𛋄 𛆚
倚	𛋕
借	𛋮 𛋓 𛋏 𛊖 𛊈
债	𛇥
值	𛋔
倾	𛊯
假	𛉋
偏	𛇙
做	𛊅 𛇎
停	𛊭 𛊍
偷	𛋃
偿	𛈾
傅	𛆔
傺	𛅲
像	𛊪 𛈼
僚	𛇇
僧	𛋳
儒	𛆱
儿	𛇈
元	𛆧
兄	𛉂
兆	𛉓
先	𛇚
光	𛇕
免	𛋉
兑	𛆬
党	𛋈 𛊥
兜	𛋧 𛋃
兢	𛋭
入	𛇈 𛇄 𛅱
全	𛈆
八	𛅴
公	𛈌 𛇕 𛆃
六	𛆜
共	𛉨 𛈌
关	𛈘 𛇕
兴	𛋐 𛈛
兵	𛈐 𛆦
其	𛊻 𛆦
具	𛉙
典	𛉸
兹	𛈤
养	𛈍
兼	𛉿
内	𛈏 𛆫 𛅺
冈	𛇕
再	𛇥
冒	𛉣
写	𛇠
军	𛊶 𛊵
冠	𛇕
冤	𛋟
冬	𛊚
冰	𛋆
决	𛊐
冷	𛉼
冻	𛆒
净	𛉽
凄	𛋴 𛈨
凉	𛉴
减	𛊜 𛇕
凑	𛉵
几	𛆺
凡	𛈒
凤	𛋹 𛆠
凭	𛋆
凳	𛇽 𛇼 𛆬 𛆒
出	𛈚
击	𛊐
刀	𛆒
刁	𛅾
分	𛋆 𛆙
切	𛈦
刑	𛊁
划	𛆵
刘	𛇋
则	𛈤
刚	𛈌 𛇕
初	𛊾
判	𛋪 𛈺
利	𛇟 𛆍
别	𛊎
刮	𛆐
到	𛇽 𛇼 𛆛
制	𛊝 𛉓 𛈤
刹	𛇦
刺	𛇠
刻	𛊙
剃	𛉕
削	𛅿
前	𛋋
剥	𛈲
剩	𛋐 𛈛
割	𛇵
劝	𛆟
功	𛇕 𛆃
加	𛉊
务	𛈩
动	𛆒
助	𛊾 𛉊 𛇭
劫	𛊐
劳	𛈰 𛇇
势	𛆓
勘	𛆣
勤	𛊝
勾	𛋂
匀	𛉍 𛇁
包	𛈲
化	𛅽
北	𛉜 𛇫
匙	𛆸
匠	𛈼
匣	𛊕
匹	𛉆
区	𛇂
医	𛆱
十	𛆹 𛅵
千	𛆉
升	𛈛
半	𛈺
华	𛇳
单	𛈂 𛆍
卖	𛋯
南	𛉺
博	𛋷 𛉖
卜	𛇲
占	𛉿 𛉓 𛇝
卢	𛋗
卦	𛉌
卫	𛆨
卯	𛈳
却	𛅼
卷	𛉉 𛉅 𛇆
卿	𛊯
厅	𛊭
厉	𛇟
压	𛆵
厘	𛊎
原	𛆧
厢	𛉵
厨	𛇭
去	𛇂
县	𛋟
参	𛉾
又	𛇁
及	𛋔 𛉓
友	𛈶
双	𛈊
反	𛇑 𛆌
发	𛆐
叔	𛊡 𛅿
取	𛉛 𛇂
受	𛉬
变	𛇲 𛇪 𛆦
口	𛇉 𛆚
古	𛇰
句	𛆘
另	𛉼
叩	𛆣
只	𛈤 𛆑
叫	𛉓
可	𛆄
台	𛅻
史	𛆹
右	𛇁
叶	𛆼 𛆱
号	𛉥
司	𛊸
吃	𛋡 𛊉 𛆲 𛆱
各	𛉦
合	𛈩
吉	𛊐
吊	𛅹
同	𛊤
名	𛇾
后	𛇌
向	𛆈
吓	𛅽
君	𛊵
吞	𛇸
吟	𛆰
吧	𛇪
含	𛊨
听	𛇜
启	𛉛
吴	𛊢
吵	𛉤 𛈁
吸	𛊐
吹	𛆪
呈	𛈆
告	𛉘 𛇧 𛆅
员	𛆧
周	𛆝
味	𛆨
命	𛈑
和	𛇯 𛇮
咐	𛆖
咒	𛆝
咬	𛊠
咸	𛊨
咽	𛊂
品	𛉞
响	𛊩 𛉷
哑	𛉏
哥	𛋰 𛋂
哪	𛉈 𛈏 𛇾
哭	𛇱
唐	𛊤
唤	𛊧
唯	𛊄
唱	𛋬
啄	𛈺
商	𛉶
啼	𛊹
善	𛋌
喊	𛋄 𛊕 𛈹
喜	𛆻
喝	𛉦 𛈩
喷	𛅶
喻	𛆱
嗯	𛊃
嘉	𛈅
嘱	𛅼
嘴	𛆘
四	𛈗
回	𛇳
因	𛆱
团	𛊤
园	𛆧
困	𛋫
围	𛊄
固	𛇰
国	𛈅
图	𛋥
圆	𛆧
土	𛊔 𛆀
圣	𛈓
在	𛇥
地	𛋇 𛊤
场	𛊻
均	𛊵
坏	𛆌
坐	𛊅 𛇎
坑	𛆃
块	𛇨
坚	𛉿
坟	𛈮 𛆙
坤	𛉨
坦	𛉻
垂	𛉅
垫	𛋊 𛈎
垮	𛆩
埋	𛋑 𛊊
城	𛈒
培	𛇪
基	𛋔
堂	𛊤
堆	𛆬
堪	𛉲
堵	𛋦
塔	𛊔
塘	𛊤
塞	𛇴
填	𛋊
墓	𛇀
墙	𛊻 𛈽
墨	𛋉
壁	𛉎
士	𛆹
声	𛉂
壳	𛆄
壶	𛋘
处	𛉛 𛈫 𛆬
备	𛊰
复	𛋷
夏	𛈣
夕	𛋮 𛅿
外	𛇒 𛇃
多	𛈂
夜	𛇩 𛇁 𛆯
够	𛆅
大	𛅻
天	𛆤
太	𛆎
夫	𛉖 𛆔
央	𛈍
失	𛊼
头	𛇊
奇	𛊻 𛆦
奈	𛉈
奉	𛉮
奏	𛊪
契	𛇬
套	𛉤 𛇊
女	𛆁
奶	𛊊
好	𛇉 𛆚
如	𛇄 𛆱
妄	𛈈
妆	𛈉
妇	𛊓 𛇲 𛆖 𛆕
妒	𛋗
妖	𛆱
妙	𛉟
妨	𛋆 𛋅 𛆠
妹	𛋉
妻	𛋴 𛈨
妾	𛈧
姊	𛈖
始	𛇴
姑	𛋰 𛊿
姓	𛊮 𛉾
姜	𛈌
姨	𛊺
姻	𛆱
姿	𛈤
威	𛆨
娇	𛋔 𛉒 𛆝
娘	𛇘
娥	𛊢
娶	𛉛 𛇂
婆	𛉖
婚	𛆙
婢	𛊰 𛉎
婴	𛊫
婿	𛉅
媒	𛊬
嫁	𛉌 𛇧
嫂	𛊜
嫌	𛊁
嫩	𛆫
嬉	𛋔
嬷	𛊊 𛇯
子	𛆑
孔	𛈋 𛆣
孕	𛆱
字	𛈤
存	𛊶
孙	𛊍
孝	𛉬
孟	𛉟
季	𛉓
孤	𛋰 𛋂 𛊿
学	𛉬
孩	𛇶
孽	𛈥
宁	𛉼 𛉀
宅	𛊾 𛉊
宇	𛅷
守	𛆞 𛆆
安	𛊃
宋	𛉡 𛅿
完	𛆧
宗	𛈉
官	𛇕
定	𛉽
宜	𛅺
宝	𛉎
实	𛋓 𛆹 𛅵
室	𛊗
宫	𛈌
害	𛋚 𛉝 𛇶
宵	𛈨
家	𛉊
容	𛈿
宽	𛉲
宾	𛋆
宿	𛇴 𛅿
寂	𛋔
寄	𛉔 𛉓
富	𛊓 𛆖
寒	𛊨
寡	𛉋 𛈅
寸	𛆄
对	𛆬
寺	𛈤
寿	𛉬
封	𛋆 𛆠 𛆙
射	𛊍
将	𛈼
尊	𛊶 𛊵
小	𛅿
少	𛆿 𛆻
尔	𛇈
尖	𛋋
尘	𛊝
尚	𛉶
尝	𛈾
尤	𛊢
就	𛉨
尸	𛊸 𛆹
尺	𛅼
尽	𛉑 𛈯
尾	𛊊
尿	𛆾
层	𛋳 𛊪 𛉑
居	𛋔 𛊵
屈	𛆩
屋	𛇱 𛅷
屎	𛊸
展	𛊀
属	𛊼
屠	𛋥
履	𛉄
山	𛇏
岁	𛊼 𛊮
岂	𛉛
岗	𛇕
岩	𛈕
岭	𛉼
岸	𛈀
崽	𛆑
川	𛊯
州	𛆝
巡	𛊶
巢	𛋳
工	𛆃
左	𛇍
差	𛊾 𛉉 𛈟
己	𛆺
已	𛋤 𛆱
巾	𛆭
市	𛆹
布	𛉖
师	𛊸 𛆹
希	𛊼
帐	𛊪 𛇆
帕	𛇲
帝	𛅹
带	𛊋 𛆒
席	𛋮
帮	𛈺
常	𛈾
帽	𛉣
幅	𛋷 𛆕
干	𛇕 𛆣 𛆉
平	𛇛 𛆦
年	𛆥
并	𛆦
幸	𛊮 𛇐
幼	𛈶 𛆱
广	𛊦 𛇕
庄	𛈉
床	𛈉
庐	𛋗
应	𛊉 𛆱
底	𛋒
庙	𛉟
庚	𛆃
府	𛆕
度	𛋥
座	𛈱
庭	𛊭
庵	𛊃
康	𛉲
延	𛋍
廷	𛊭
建	𛇝
开	𛇶
弃	𛇬
弄	𛊚 𛆒
弓	𛈌
引	𛊉
弟	𛆒 𛅹
张	𛈌
弯	𛈄 𛆨
弱	𛇩
强	𛊻
归	𛈘
当	𛊥 𛉰
形	𛊁
影	𛈇
彻	𛆻
彼	𛉎
往	𛋟 𛉚
征	𛆭
待	𛆒 𛅻
後	𛇌
得	𛋀 𛆒
微	𛊄
德	𛋀
徽	𛆭
心	𛊛 𛇺 𛇹
忆	𛆱
忌	𛋔 𛉓
忍	𛅺
志	𛊝
忘	𛈈 𛆡
忙	𛇓
忠	𛈌
忧	𛋍 𛇩 𛇁
快	𛇨
念	𛉸 𛈏
忽	𛋷
怀	𛈝
怒	𛈏
怕	𛇲
怜	𛇇
思	𛊸
怠	𛅻
急	𛋔 𛊐
性	𛊮 𛉾
怨	𛋟
怪	𛋫 𛉌 𛇧
总	𛋫 𛉨
恐	𛊩
恨	𛊲
恩	𛊸 𛇈
恬	𛋊
恭	𛈌
息	𛅿
恶	𛉦
恼	𛈻
悔	𛋶 𛈣
患	𛋶 𛆙
悬	𛈒
悯	𛇺
悲	𛊰
情	𛊭
惊	𛋭 𛇆 𛆭
惜	𛊲 𛊈
惧	𛊖
惨	𛉒
惭	𛇆
想	𛊩
惹	𛇩
愁	𛊝
意	𛋤 𛆱 𛅺
愚	𛇄
感	𛊦 𛇕
愿	𛋟 𛆧
慈	𛋣
慢	𛉟
憾	𛊲
懒	𛉄
戈	𛋰
戏	𛆓
成	𛈒
我	𛊉 𛈪 𛈕
戒	𛆄
或	𛋶
截	𛋓
户	𛆖
房	𛋅
所	𛈁
扇	𛋌 𛉃
手	𛆞
才	𛆏
扑	𛉖
托	𛈢
扛	𛆣
扣	𛆣
执	𛊐
扩	𛆄
扫	𛈗
扬	𛈿
扮	𛆙
扯	𛉝 𛈢
扰	𛋕
扳	𛉎
扶	𛇮
批	𛅶
承	𛋙
抄	𛋴
把	𛊷 𛉎 𛇪
抑	𛋍
投	𛇊
抖	𛆛
折	𛊐
抛	𛈲 𛇾
抢	𛊩 𛉱
报	𛇣
披	𛅶
抬	𛅻
抱	𛉖
抵	𛋒
抽	𛆝
拄	𛉙
担	𛉻
拆	𛋓
拉	𛆒
拍	𛇲 𛇫 𛇪
拐	𛋫
拔	𛊰 𛉜 𛇫 𛇣
拖	𛈢
招	𛋔
拜	𛇣
拨	𛇲 𛇫
括	𛆐
拯	𛇆
拳	𛈆
拼	𛈐 𛆦
拾	𛅵
拿	𛇁
持	𛋣
挂	𛋫 𛉌
指	𛋓 𛆑
挖	𛋢
挡	𛊥
挥	𛆌
挪	𛉈
捉	𛊋
捐	𛉉
损	𛉝
捡	𛊀
换	𛊧
捨	𛉝
掀	𛉃
授	𛉬
掌	𛇗
排	𛉆
探	𛋃
接	𛋓
推	𛋴 𛉘
掰	𛋆
掳	𛋗
提	𛊹
插	𛇦
揩	𛉌 𛇧
援	𛆧
搁	𛉦 𛇿
搞	𛇉
搬	𛈺
搽	𛉗
摆	𛉎 𛇣
摇	𛊺
摘	𛋓
摩	𛋪
摸	𛋪
撑	𛊝 𛊌 𛇗
撞	𛈉
操	𛋴 𛊾
支	𛈤 𛆷
收	𛈀
改	𛊿 𛇧
放	𛉮 𛈺
政	𛇆
故	𛉘 𛇰
效	𛉬
敌	𛋮
敏	𛋉
救	𛆝
教	𛆝
敢	𛊦 𛇕
散	𛈗
敬	𛇝 𛇆
数	𛉅
敲	𛋂
整	𛇆
文	𛆂
斋	𛊳 𛉑
斑	𛊰
斗	𛇼 𛆛
料	𛆽
斟	𛆭
斤	𛆭
斧	𛋷 𛊒
断	𛋈 𛋇 𛊥
斯	𛊸
新	𛊛 𛇺 𛇹
方	𛆠
施	𛊸
旁	𛋅
旅	𛆽
旗	𛊻
无	𛇯
既	𛋤 𛉓 𛇬
日	𛇈 𛅱
旦	𛉄
旧	𛆝
旨	𛆑
早	𛈖
旱	𛊧
时	𛆸
明	𛇾
昏	𛆙
易	𛆱
昔	𛊲 𛊈
星	𛉾
映	𛈇
春	𛊌
昨	𛋳 𛈱
